VIDEO_ID	VIDEO_NAME	SENTENCE_ID	SENTENCE_NAME	START_REALIGNED	END_REALIGNED	SENTENCE
--7E2sU6zP4	--7E2sU6zP4-5-rgb_front	--7E2sU6zP4_10	--7E2sU6zP4_10-5-rgb_front	129.06	142.48	And I call them decorative elements because basically all they're meant to do is to enrich and color the page.
--7E2sU6zP4	--7E2sU6zP4-5-rgb_front	--7E2sU6zP4_11	--7E2sU6zP4_11-5-rgb_front	142.49	169.4	So they don't really have much of a symbolic meaning other than maybe life is richer, life is beautiful, but they've become so beautifully stylized and so you find them in different illuminative being rendered in very different ways.
--7E2sU6zP4	--7E2sU6zP4-5-rgb_front	--7E2sU6zP4_12	--7E2sU6zP4_12-5-rgb_front	169.45	182.57	Now this is very, this is actually an insert of a kind of an envelope for stationary, and this is a very Italian design.
--7E2sU6zP4	--7E2sU6zP4-5-rgb_front	--7E2sU6zP4_13	--7E2sU6zP4_13-5-rgb_front	183.12	189.01	This is all the you know, take off on the idea of the acanthus leaf.
--7E2sU6zP4	--7E2sU6zP4-5-rgb_front	--7E2sU6zP4_5	--7E2sU6zP4_5-5-rgb_front	55.95	65.19	It's almost has a feathery like posture to it.
--7E2sU6zP4	--7E2sU6zP4-5-rgb_front	--7E2sU6zP4_6	--7E2sU6zP4_6-5-rgb_front	65.2	85.72	And so, it's used in architecture as a decorative element in architecture on columns and so on, and it's also used a great deal in illumination.
--7E2sU6zP4	--7E2sU6zP4-5-rgb_front	--7E2sU6zP4_7	--7E2sU6zP4_7-5-rgb_front	86.01	95.24	And so what's happened with the idea of acanthus leaf, is that it has is taken on all these different creative looks.
--7E2sU6zP4	--7E2sU6zP4-5-rgb_front	--7E2sU6zP4_8	--7E2sU6zP4_8-5-rgb_front	95.25	113.13	And it has been wildly colored so you can look at some an acanthus leaf and you can start with the idea of a black and white drawing.
--7E2sU6zP4	--7E2sU6zP4-5-rgb_front	--7E2sU6zP4_9	--7E2sU6zP4_9-5-rgb_front	113.24	127.23	Here, actually, I have some samples of traced acanthus leaves from different illuminated manuscripts.
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_0	--8pSDeC-fg_0-5-rgb_front	1.45	1.93	Hi.
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_1	--8pSDeC-fg_1-5-rgb_front	1.98	4.56	My name is Dr. Art Bowler.
